 acw_events.2.d: "[SCOPE.sCharacter('slaver_ig_leader').GetFullName]的一名奴隶从[SCOPE.sCharacter('slaver_ig_leader').GetHerHis]的庄园逃往了北方的自由州。[SCOPE.sCharacter('slaver_ig_leader').GetLastName]要求将那名奴隶遣返，而废奴主义者则呼吁对[SCOPE.sCharacter('slaver_ig_leader').GetHerHis]的要求不予理睬。"
 french_pretenders_pulse.5.a: "[SCOPE.sCharacter('monarch_of_france').GetFullNameNoFormatting]无与伦比。"
 revolution_pulse1_events.1.c: "这份名单上只有一个名字是我们需要的：[SCOPE.sCharacter('membership_list_agitator').GetFullName]。"
 revolution_pulse1_events.4.a: "暂时限制[SCOPE.sCharacter('infernal_machine_ruler').GetFullName]公开露面。"
 revolution_pulse1_events.4.b: "这起犯罪显然是[SCOPE.sCharacter('infernal_agitator').GetFullName]的错。"
 revolution_pulse1_events.7.b: "不能相信[SCOPE.sCharacter('guglielmo_pepe').GetFullName]。逮捕[SCOPE.sCharacter('guglielmo_pepe').GetHerHim]！"
 revolution_pulse1_events.12.d: "臭名昭著的麻烦制造者[SCOPE.sCharacter('safehaven_dissident').GetFullName]在[SCOPE.sCountry('safehaven_for_dissidents').GetName]站稳了脚跟。[SCOPE.sCharacter('safehaven_dissident').GetSheHe|U]利用该国的独立执法部门避免被我们自己的执法人员逮捕。"
 revolution_pulse1_events.13.d: "[SCOPE.sCountry('parent_of_safehaven').GetName]执法部门要求我们交出生活在我们国家的持不同政见者[SCOPE.sCharacter('safehaven_dissident').GetFullName]。"
 revolution_pulse1_events.13.a: "我们会为[SCOPE.sCountry('parent_of_safehaven').GetNameNoFormatting]逮捕[SCOPE.sCharacter('safehaven_dissident').GetFullNameNoFormatting]。"
 revolution_pulse1_events.13.a.tt: "[SCOPE.sCharacter('safehaven_dissident').GetFullName]将再也不能鼓动任何事。"
 revolution_pulse1_events.14.d: "发现[SCOPE.sCountry('parent_of_safehaven').GetName]的特工试图秘密绑架[SCOPE.sCharacter('safehaven_dissident').GetFullName]并将[SCOPE.sCharacter('safehaven_dissident').GetHerHim]送回他们的国家。"
 revolution_pulse1_events.18.d: "[SCOPE.sCharacter('will_kill_for_peace_general').GetPrimaryRoleTitle][SCOPE.sCharacter('will_kill_for_peace_general').GetFullName]指出[SCOPE.sState('will_kill_for_peace_state').GetName]动乱十分严重，提议动用军队镇压该地区的骚乱。虽然[SCOPE.sCharacter('will_kill_for_peace_general').GetHerHis]的政治盟友愿意为[SCOPE.sCharacter('will_kill_for_peace_general').GetHerHim]背书，但执行[SCOPE.sCharacter('will_kill_for_peace_general').GetHerHis]的计划仍然存在很大风险。"
 1848.10.d: "不幸的[SCOPE.gsInterestGroup('disgruntled_ig')]成员很沮丧，因为国家拒绝他们进入任何政府部门，而且丝毫不迁就他们。特别是[SCOPE.sCharacter('disgruntled_ig_leader').GetFullName]已经开始将一些惊人的意识形态融入[SCOPE.sCharacter('disgruntled_ig_leader').GetHerHis]的反政府言论。"
 1848.11.d: "不断增长的赤字和高赋税导致了财政的崩溃。这次经济衰退对[SCOPE.gsInterestGroup('squeezed_ig')]造成的打击尤为严重，[SCOPE.sCharacter('squeezed_ig_leader').GetFullName]要求政府提供救助。"
 exiles_more_events.1.d: "在国家遭到攻击后，[SCOPE.sCharacter('patriotic_exile_scope').GetFullName]希望能为这个曾经迫使[SCOPE.sCharacter('patriotic_exile_scope').GetHerHim]流亡的国家效力。[SCOPE.gsInterestGroup('patriotic_exile_home_ig').GetName]对这个想法尤为兴奋。"
 exiles_more_events.2.d: "[SCOPE.sLaw('interventionist_exile_law_scope').GetName]的进程陷入僵局，导致[SCOPE.sCharacter('interventionist_exile_scope').GetFullName]将自己置于辩论漩涡的中心，并迫使该议题结束。"
 exiles_more_events.2.c: "[SCOPE.gsInterestGroup('interventionist_exile_ig').GetName]不再与[SCOPE.sCharacter('interventionist_exile_scope').GetFullName]保持一致。"
 exiles_more_events.2.c.tt: "[SCOPE.sCharacter('interventionist_exile_scope').GetFullName]和[SCOPE.sCharacter('interventionist_exile_ig_leader').GetFullName]在意识形态上不一致。"
 exiles_more_events.3.d: "尽管[SCOPE.sCharacter('the_loneliest_little_agitator').GetFullName]仍在为自己的事业而战，但已经没有人追随[SCOPE.sCharacter('the_loneliest_little_agitator').GetHerHis]了。沮丧的[SCOPE.sCharacter('the_loneliest_little_agitator').GetLastName]已经开始公开表示他们可能会完全放弃[SCOPE.sCharacter('the_loneliest_little_agitator').GetHerHis]的激进主张。"
 exiles_more_events.3.a: "[SCOPE.sCharacter('the_loneliest_little_agitator').GetFullName]或许能在别处找到更好的差事。"
 exiles_more_events.4.d: "在我们的统治下，[ROOT.GetCountry.GetNameNoFormatting]紧密团结，分崩离析的前政府治下的政要和持不同政见者都因此被吸引到了我们国家。[SCOPE.sCharacter('post_unification_agitator').GetFullName][SCOPE.sCharacter('post_unification_agitator').GetHerHis]正设法在[ROOT.GetCountry.GetNameNoFormatting]安家。"
 exiles_more_events.4.a: "我们张开双臂欢迎[SCOPE.sCharacter('post_unification_agitator').GetFullName]。"
 exiles_more_events.5.d: "据报道，曾在国外度过一段时间的经验丰富的活动家[SCOPE.sCharacter('experienced_exile').GetFullName]面对[ROOT.GetCountry.GetNameNoFormatting]境内日益严峻的挑战，考虑再次流亡。"
 exiles_more_events.5.a: "我们向[SCOPE.sCharacter('experienced_exile').GetFullName]告别。"
 exiles_more_events.6.t: "邪恶的[SCOPE.sCharacter('melodrama_villain').GetFullName]的回归"
 exiles_more_events.6.d: "一位仍与[SCOPE.gsInterestGroup('melodrama_villain_ig').GetName]有密切联系的臭名昭著的流亡者[SCOPE.sCharacter('melodrama_villain').GetFullName]宣布[SCOPE.sCharacter('melodrama_villain').GetHerHis]将以戏剧性的方式回归。[SCOPE.gsInterestGroup('melodrama_villain_ig').GetNameNoFormatting]的领导层担心[SCOPE.sCharacter('melodrama_villain').GetSheHe]可能会为他们和整个国家带来麻烦。"
 exiles_more_events.6.f: "“#extrabold 蠢货！#!你#italic 竟敢#!干涉[SCOPE.gsInterestGroup('melodrama_villain_ig').GetNameNoFormatting]的#italic 真正主宰#![SCOPE.sCharacter('melodrama_villain').GetFullNameNoFormatting]的事？你会#extrabold 后悔#!轻视我的！我的这次伟大旅程，不过是我国光荣的新开端的黎明——不，是整个#bold 世界#!——这些阴谋早在你插手我的事情之前就开始了。不论什么阻碍都无法阻止#bold 我#!。我#semibold 光荣#!的回归将永垂#bold 史册#!！”"
 exiles_more_events.7.d: "两位前流亡者[SCOPE.sCharacter('first_ex_exile').GetFullName]和[SCOPE.sCharacter('second_ex_exile').GetFullName]发现自己很难脱离曾经的争吵和麻烦，而且生活在这里，还一次又一次地为他们的老问题争吵不休。"
 exiles_more_events.7.b: "我们必须把[SCOPE.sCharacter('first_ex_exile').GetFullName]赶出去。"
 exiles_more_events.7.c: "这里不再欢迎[SCOPE.sCharacter('second_ex_exile').GetFullName]。"
 exiles_more_events.8.d: "随着政府的合法性处于低谷，以及国家职能瘫痪，有报告称[SCOPE.sCharacter('dgaf_exile_scope').GetFullName]认为如果[SCOPE.sCharacter('dgaf_exile_scope').GetSheHe]进入国内不会在边境遭遇盘问。"
 exiles_more_events.8.b.tt: "[SCOPE.sCharacter('dgaf_exile_scope').GetFullName]将被禁止入境。"
 exiles_more_events.9.d: "鉴于[SCOPE.gsInterestGroup('fertile_ground_ig').GetName]在[ROOT.GetCountry.GetNameNoFormatting]的影响力，[SCOPE.sCharacter('fertile_ground_exile_scope').GetFullName]显然认定了这个国家是宜居的好地方。"
 exiles_more_events.9.a: "没理由阻止[SCOPE.sCharacter('fertile_ground_exile_scope').GetFullName]来。"
 exiles_more_events.10.d: "像[SCOPE.sCharacter('unstable_element_agitator').GetFullName]这种颠覆分子，即便没有参与正在进行的革命，仅仅是[SCOPE.sCharacter('unstable_element_agitator').GetSheHe]的存在就对政府构成了严重威胁，以目前危险的形势，这决不能容忍。"
 exiles_more_events.10.a: "[SCOPE.sCharacter('unstable_element_agitator').GetFullName]必须走。马上。"
 notification_garibaldi_is_here_name: "[SCOPE.sCharacter('garibaldi_scope').GetFullName]已移动到[SCOPE.sCountry('garibaldi_new_home').GetName]"
 notification_garibaldi_is_here_desc: "[SCOPE.sCharacter('garibaldi_scope').GetFullName]已抵达[SCOPE.sCountry('garibaldi_new_home').GetName]与[SCOPE.sCountry('garibaldi_spawn_foe_scope').GetName]的军队作战。"
 notification_garibaldi_skedaddles_name: "[SCOPE.sCharacter('garibaldi_scope').GetFullName]已离开[SCOPE.sCountry('garibaldi_old_home').GetName]"
 notification_garibaldi_skedaddles_desc: "[SCOPE.sCharacter('garibaldi_scope').GetFullName]已离开[SCOPE.sCountry('garibaldi_old_home').GetName]并前往其他地方开展革命。"
 french_pretenders.1.d_1: "由于前政权合法性上的失败，一场迅速的政变使[ROOT.GetCountry.GetRuler.GetFullName]得以上台。与[ROOT.GetCountry.GetRuler.GetHerHis]的部分前任相比，[ROOT.GetCountry.GetRuler.GetSheHe]选择了更低调、更现代的仪式，在兰斯主教座堂加冕为[ROOT.GetCountry.GetName]的[ROOT.GetCountry.GetRuler.GetPrimaryRoleTitle]。"
 french_pretenders.1.d_2: "由于前政权合法性上的失败，一场迅速的政变使[ROOT.GetCountry.GetRuler.GetFullName]得以上台。自旧制度的黄金时代后已许久不见如此传统且奢华的盛况，况且持续了四天。[ROOT.GetCountry.GetRuler.GetSheHe|U]在兰斯主教座堂受膏，并加冕为[ROOT.GetCountry.GetName]的[ROOT.GetCountry.GetRuler.GetPrimaryRoleTitle]。"
 french_pretenders.1.d_3: "由于前政权合法性上的失败，一场迅速的政变使[ROOT.GetCountry.GetRuler.GetFullName]得以上台。他披着[ROOT.GetCountry.GetRuler.GetHerHis]的先辈拿破仑大帝的袍服与礼器，在巴黎圣母院的盛大仪式上加冕[ROOT.GetCountry.GetRuler.GetHerselfHimself]自己为[ROOT.GetCountry.GetName][ROOT.GetCountry.GetRuler.GetPrimaryRoleTitle]。"
 french_pretenders.10.d_1: "与[ROOT.GetCountry.GetRuler.GetHerHis]的部分前任相比，[ROOT.GetCountry.GetRuler.GetFullName]选择了更低调、更现代的仪式，在兰斯主教座堂加冕为[ROOT.GetCountry.GetName]的[ROOT.GetCountry.GetRuler.GetPrimaryRoleTitle]。"
 french_pretenders.10.d_2: "自旧制度的黄金时代后已许久不见如此传统且奢华的盛况，况且持续了四天。[ROOT.GetCountry.GetRuler.GetFullName]在兰斯主教座堂受膏，并加冕为[ROOT.GetCountry.GetName]的[ROOT.GetCountry.GetRuler.GetPrimaryRoleTitle]。"
 french_pretenders.10.d_3: "[ROOT.GetCountry.GetRuler.GetFullName]披着[ROOT.GetCountry.GetRuler.GetHerHis]的先辈拿破仑大帝的袍服与礼器，在巴黎圣母院的盛大仪式上加冕[ROOT.GetCountry.GetRuler.GetHerselfHimself]自己为[ROOT.GetCountry.GetName][ROOT.GetCountry.GetRuler.GetPrimaryRoleTitle]。"
 french_pretenders.2.d: "虽然[SCOPE.gsInterestGroup('moral_order_government_ig_scope').GetLeader.GetFullName]的[SCOPE.gsInterestGroup('moral_order_government_ig_scope').GetLeader.GetIdeology.GetName]事业在[SCOPE.gsInterestGroup('moral_order_opposition_ig_scope').GetName]内部有相当多的反对者，但[SCOPE.gsInterestGroup('moral_order_opposition_ig_scope').GetLeader.GetFullName]表示有兴趣支持这场运动，认为其中蕴藏的秩序之源很适合让[ROOT.GetCountry.GetName]重回正轨。"
 french_pretenders.2.tt: "[SCOPE.gsInterestGroup('moral_order_opposition_ig_scope').GetLeader.GetFullName]拥有[SCOPE.gsInterestGroup('moral_order_opposition_ig_scope').GetLeader.GetIdeology.GetName][concept_ideology]"
 french_pretenders.3.d: "将[SCOPE.GetRootScope.GetCountry.GetCustom('french_dynasty')]家族提升为[SCOPE.GetRootScope.GetCountry.GetName]唯一合法王朝的努力遭到了著名的[SCOPE.gsInterestGroup('oppoisition_french_monarchist_ig_scope').GetLeader.GetIdeology.GetName][SCOPE.gsInterestGroup('oppoisition_french_monarchist_ig_scope').GetLeader.GetFullName]的阻挠，此人声称[ROOT.GetCountry.GetRuler.GetFirstName][ROOT.GetCountry.GetRuler.GetPrimaryRoleTitle]不过是个妄自尊大的土匪。"
 french_pretenders.3.tt: "[SCOPE.gsInterestGroup('oppoisition_french_monarchist_ig_scope').GetLeader.GetFullName]拥有[SCOPE.gsInterestGroup('oppoisition_french_monarchist_ig_scope').GetLeader.GetIdeology.GetName][concept_ideology]"
 algeria_events.1.f: "服饰华丽的军队沿着阿尔及尔的海滨缓缓蜿蜒前行。穿着鲜艳的佐阿夫兵步伐紧密地走向停泊在港口的[ROOT.GetCountry.GetAdjectiveNoFormatting]船只，上面挂着被击败的阿尔及利亚军团的残破战旗。在他们身后，枪骑​​兵、正规军和土著步兵也纷纷效仿他们的打扮。\n\n[SCOPE.sCharacter('algerian_parade_general_scope').GetFullNameNoFormatting]站在后甲板上凝望着[ROOT.GetCountry.GetAdjectiveNoFormatting]军队大规模集结，[SCOPE.sCharacter('algerian_parade_general_scope').GetHerHis]的思绪被轻轻的清嗓声打断了。“是总督，先生。他想知道接下来的安排是什么。”"
 algeria_events.2.d: "[SCOPE.sCharacter('cremieux_decree_leader_scope').GetInterestGroup.GetName]的领袖[SCOPE.sCharacter('cremieux_decree_leader_scope').GetFullName]同情阿尔及利亚土生[SCOPE.sPop('cremieux_decree_pop_scope').GetReligion.GetName]人群的困境，提议授予他们[ROOT.GetCountry.GetAdjectiveNoFormatting]公民身份。"
 algeria_events.2.f: "第136号——宣布阿尔及利亚土生犹太人为[ROOT.GetCountry.GetAdjectiveNoFormatting]公民。\n\n兹宣布阿尔及利亚各省的土生犹太人为[ROOT.GetCountry.GetAdjectiveNoFormatting]公民；是故，自本法令颁布后，他们的实际和个人地位都由[ROOT.GetCountry.GetAdjectiveNoFormatting]法律确定，任何已获得的权利都不受侵犯。\n任何与本法令相悖的法规、法令或条例自动废除。\n\n制定于[SCOPE.sState('cremieux_decree_sign_state_scope').GetCityHubName]\n署名：[SCOPE.sCharacter('cremieux_decree_leader_scope').GetFullNameNoFormatting]" #Approximate wording of Crémieux Decree
 algeria_events.3.f: "[SCOPE.sCharacter('algerian_fiasco_ig_leader').GetFullNameNoFormatting]书房的敲门声越来越响——每一记敲击声都在将军的脑袋里回荡，宛若实质，头痛欲裂。\n\n在[SCOPE.sCharacter('algerian_fiasco_ig_leader').GetHerHim]面前，报告堆积如山，一份比一份令人憎恶。\n“无能”、“屈辱”、“灾难”。\n很多时候[SCOPE.sCharacter('algerian_fiasco_ig_leader').GetLastNameNoFormatting]都在估量自己的遗产。现在[SCOPE.sCharacter('algerian_fiasco_ig_leader').GetSheHe]知道答案了：[SCOPE.sCharacter('algerian_fiasco_ig_leader').GetSheHe|U]是失去阿尔及利亚的[SCOPE.sCharacter('algerian_fiasco_ig_leader').GetManWoman]。\n\n砰砰声越来越响。\n他们想要尽快发表一则声明。\n\n[SCOPE.sCharacter('algerian_fiasco_ig_leader').GetSheHe|U]还不如给他们一则。"
 algeria_events.5.tt: "[SCOPE.sCharacter('algerian_raid_general_scope').GetFullName]将被送上军事法庭。[SCOPE.sCharacter('algerian_raid_general_scope').GetSheHe]有#bold 50%#!的概率因失败被判有罪并被开除。"
 dreyfus.1.d: "[SCOPE.sCharacter('alfred_dreyfus_scope').GetReligion.GetName]军官[SCOPE.sCharacter('alfred_dreyfus_scope').GetFullName]被指控向[SCOPE.sCountry('dreyfus_rival_country_scope').GetAdjective]驻[ROOT.GetCountry.GetCapital.GetCityHubName]的大使泄露军事机密，现已被[SCOPE.gsInterestGroup('dreyfus_armed_forces_scope').GetName]根据笔迹分析和秘密档案的内容判定犯有叛国罪。"
 dreyfus.2.d: "[SCOPE.sCharacter('alfred_dreyfus_scope').GetFullName]的支持者坚称判决错误，他们认为[SCOPE.sCharacter('ferdinand_esterhazy_scope').GetFullName]才是可能的罪魁祸首。然而，[SCOPE.sCharacter('ferdinand_esterhazy_scope').GetLastNameNoFormatting]现已在一次闭门审判中被[SCOPE.gsInterestGroup('dreyfus_armed_forces_scope').GetName]无罪释放——随后剃掉了他的胡子并逃离了这个国家。"
 dreyfus.3.d: "[SCOPE.sCharacter('emile_zola_scope').GetFullName]在《震旦报》上发表了尖锐的社论，指责法国政府和[SCOPE.gsInterestGroup('dreyfus_armed_forces_scope').GetName]反犹，对[SCOPE.sCharacter('alfred_dreyfus_scope').GetFullName]非法定罪。"
 dreyfus.4.d: "[SCOPE.sCharacter('alfred_dreyfus_scope').GetLastNameNoFormatting]派先锋[SCOPE.sCharacter('zola_asphyxiation_leader').GetFullName]家中的仆人发现他们的雇主死在了[SCOPE.sCharacter('zola_asphyxiation_leader').GetHerHis]的卧室中。一场悲剧，一人哭着说道。这是暗杀，另一人大喊道。自然死亡，第三人如此希望。不管是那一个，这都是对[SCOPE.sCharacter('alfred_dreyfus_scope').GetFullName]案件的打击。"
 dreyfus.5.t: "[SCOPE.sCharacter('emile_zola_scope').GetFullNameNoFormatting]被控诽谤"
 dreyfus.5.d: "[SCOPE.gsInterestGroup('dreyfus_armed_forces_scope').GetName]的良好名望与声誉遭到诋毁，[SCOPE.sCharacter('dreyfus_armed_forces_leader_scope').GetFullName]感到十分愤怒，[SCOPE.sCharacter('dreyfus_armed_forces_leader_scope').GetSheHe]起诉《我控诉……！》的作者[SCOPE.sCharacter('emile_zola_scope').GetFullName]犯有诽谤罪，并要求把这个无礼的[SCOPE.sCharacter('emile_zola_scope').GetManWoman]关进监狱。"
 dreyfus.5.tt_1: "[SCOPE.sCharacter('emile_zola_scope').GetFullName]将尝试流亡以避免入狱。"
 dreyfus.5.tt_2: "[SCOPE.sCharacter('emile_zola_scope').GetFullName]被关进监狱。"
 dreyfus.6.d: "一位[SCOPE.gsInterestGroup('dreyfus_parlor_game_ig_scope').GetName]背景的富裕社会名流最近制作了一款名为《[SCOPE.sCharacter('alfred_dreyfus_scope').GetLastNameNoFormatting]事件与真相》的室内游戏，进一步在[ROOT.GetCountry.GetAdjectiveNoFormatting]上流社会中宣传[SCOPE.sCharacter('alfred_dreyfus_scope').GetFullName]被非法定罪的观点。"
 dreyfus.7.d: "受[SCOPE.gsInterestGroup('anti_dreyfusard_riot_ig').GetName]背景的《[SCOPE.sState('anti_dreyfusard_riot_state').GetCityHubName][SCOPE.GetRootScope.GetCountry.GetCustom('generic_newspaper_type')]》鼓舞，一大群人走上街头，焚烧[SCOPE.sCharacter('alfred_dreyfus_scope').GetFullName]的肖像，并高喊反[SCOPE.sCharacter('alfred_dreyfus_scope').GetReligion.GetName]口号。"
 dreyfus.8.d_1: "在被许多著名的[SCOPE.sCharacter('alfred_dreyfus_scope').GetLastNameNoFormatting]拥护者称为“世纪审判”的判决中，[SCOPE.sCharacter('alfred_dreyfus_scope').GetFullName]被证明完全无罪，这标志着反[SCOPE.sCharacter('alfred_dreyfus_scope').GetLastNameNoFormatting]派的运动彻底失败，这场运动的成员从大量法国重要机构中被连根拔起。"
 dreyfus.8.d_2: "在极度紧张的气氛中，[SCOPE.GetRootScope.GetCountry.GetCapital.GetCityHubName]的法院重申了[SCOPE.sCharacter('alfred_dreyfus_scope').GetFullName]的罪行，但在“情有可原”的情况下，以赦免[SCOPE.sCharacter('alfred_dreyfus_scope').GetLastNameNoFormatting]作为承认有罪的回报： 明显营养不良的[SCOPE.sCharacter('alfred_dreyfus_scope').GetLastNameNoFormatting]拖延了一段时间后接受了赦免。"
 dreyfus.8.d_3: "在一场广受谴责、几乎完全由[SCOPE.gsInterestGroup('dreyfus_armed_forces_scope').GetName]上层成员主导的审判中，[SCOPE.sCharacter('alfred_dreyfus_scope').GetFullName]再次被判无期徒刑，标志着[SCOPE.sCharacter('alfred_dreyfus_scope').GetLastNameNoFormatting]派运动的彻底失败，这进一步巩固了法国保守派的地位。"
